Lab,Drug for Plate,Worm Species,Worm Strain from plate,Worm strain thaw date,Plate_Title,Age at Death,Dead,Censor,Plate Position,scanner name,Compound_Conc,Conc_units,Trial,LogDeath,Experiment type,Plate_Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,15.6719,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,17.9844,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,18.1406,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,19.3906,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,19.5781,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,19.9063,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,20.2656,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,20.7031,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,20.7344,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,21.7969,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,21.8281,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,22.0469,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,22.0469,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,22.0469,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,22.6406,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,24.0156,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,24.8281,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,25.2969,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,26.8281,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,27.6406,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,27.6719,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,27.9531,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,31.7969,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,37.7031,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,9.56493,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,12.3149,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
