Lab,Experiment,Date,Tech,Strain,Compound,Trial,Age,Sample,Video,Worm,Wave,Body,Asymmetry,Stretch,Curling,Travel,Brush,Activity,SwimmingScore,SwimmingScoreMean,AdjSwimmingScore
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_1_3,4 AF16 D10 CTRL 1_1,1,48.841584,1.082155,0.008223,0.421776,0,1.991872,0.073799,111.628018,5.37661931105725,5.20019051318949,0.176428797867761
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_1_3,4 AF16 D10 CTRL 1_1,2,24.747406,1.337309,0.024116,0.623094,0,1.717932,0.09223,78.400626,5.7387496607408,5.20019051318949,0.538559147551306
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_1_3,4 AF16 D10 CTRL 1_1,3,101.620644,0.572675,0.001198,0.353856,0,6.401433,0.244921,236.797535,7.69007002546159,5.20019051318949,2.4898795122721
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_2_3,4 AF16 D10 CTRL 1_2,1,18.212751,1.375376,0.013043,0.540862,0,1.771374,0.060928,46.048144,4.5833678146662,5.20019051318949,-0.616822698523288
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_2_3,4 AF16 D10 CTRL 1_2,2,83.967327,0.821627,0.002452,0.31741,0,4.485763,0.180044,190.17086,6.58223841645293,5.20019051318949,1.38204790326344
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_2_3,4 AF16 D10 CTRL 1_2,3,70.156137,0.607107,0.007123,0.398663,0,4.756331,0.195804,124.022454,5.6128527272439,5.20019051318949,0.412662214054407
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_3_3,4 AF16 D10 CTRL 1_3,1,35.838558,1.198208,0.027919,0.485876,0,2.498772,0.086534,108.877804,5.50546029271792,5.20019051318949,0.30526977952843
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_3_3,4 AF16 D10 CTRL 1_3,2,25.978743,1.004336,0.013053,0.625802,0,1.106408,0.061546,101.680309,5.98799028052202,5.20019051318949,0.787799767332532
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_3_3,4 AF16 D10 CTRL 1_3,3,18.185715,1.346773,0.022589,0.593486,0.339623,1.811738,0.064351,53.134636,4.94044885282028,5.20019051318949,-0.259741660369211
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_4_3,4 AF16 D10 CTRL 1_4,1,24.93463,0.73516,0.008748,0.384762,0,2.267046,0.053826,69.892188,3.86703458092403,5.20019051318949,-1.33315593226546
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_4_3,4 AF16 D10 CTRL 1_4,2,45.129838,0.696367,0.026343,0.351375,0,2.198152,0.19064,131.703482,5.41316574164787,5.20019051318949,0.212975228458385
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_4_3,4 AF16 D10 CTRL 1_4,3,84.511827,0.469192,0.019493,0.32753,0,6.960795,0.271927,275.770235,7.90963540180287,5.20019051318949,2.70944488861338
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_5_3,4 AF16 D10 CTRL 1_5,1,82.922882,0.623568,0.00107,0.41497,1.018868,5.038412,0.274407,215.093311,7.55559166388207,5.20019051318949,2.35540115069258
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_5_3,4 AF16 D10 CTRL 1_5,2,49.186168,1.072783,0.004839,0.477254,0,1.792058,0.086288,109.268557,5.69784724425245,5.20019051318949,0.49765673106296
Driscoll,DC_112819,11/28/19,4,AF16,H2O,1,8,Sample_4 AF16 D10 CTRL 1_5_3,4 AF16 D10 CTRL 1_5,3,13.582617,1.503461,0.040484,0.697872,7.831094,0.929686,0.051185,36.765138,4.64255660805136,5.20019051318949,-0.557633905138128
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_1_3,4 AF16 D10 metformin 1_1,1,66.916058,0.691689,0.004778,0.40218,0,4.657142,0.145561,214.854433,7.01590498203989,5.20019051318949,1.8157144688504
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_1_3,4 AF16 D10 metformin 1_1,2,6.561555,1.883401,0.131044,0.387959,8.141264,0.307842,0.029948,9.99649,2.50821729671759,5.20019051318949,-2.6919732164719
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_1_3,4 AF16 D10 metformin 1_1,3,23.455321,1.424601,0.001296,0.558956,0,1.184983,0.044387,55.452616,4.96368977749849,5.20019051318949,-0.236500735691004
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_2_2,4 AF16 D10 metformin 1_2,1,67.250343,0.610787,0.0012,0.332065,0,5.222257,0.180253,193.517613,6.29200466269219,5.20019051318949,1.0918141495027
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_2_2,4 AF16 D10 metformin 1_2,2,112.234986,0.52252,0.001879,0.305835,0,5.281473,0.281857,313.912086,9.09721689368319,5.20019051318949,3.8970263804937
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_3_3,4 AF16 D10 metformin 1_3,1,82.777904,0.757557,0.000434,0.407718,0,7.521001,0.241598,226.718802,7.48909885219696,5.20019051318949,2.28890833900747
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_3_3,4 AF16 D10 metformin 1_3,2,68.224835,0.949208,0.004603,0.389649,0,3.228619,0.149266,160.199348,6.33848851711442,5.20019051318949,1.13829800392493
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_3_3,4 AF16 D10 metformin 1_3,3,67.798381,1.371474,0.001824,0.395992,0,3.637119,0.141217,159.952758,6.49725517637802,5.20019051318949,1.29706466318853
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_4_3,4 AF16 D10 metformin 1_4,1,66.882832,0.85869,0.010169,0.368004,0,4.689037,0.156936,164.183941,6.08451073006703,5.20019051318949,0.884320216877544
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_4_3,4 AF16 D10 metformin 1_4,2,34.671545,0.676527,0.00877,0.505608,0,2.173315,0.075929,112.675937,5.42851758200719,5.20019051318949,0.228327068817703
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_4_3,4 AF16 D10 metformin 1_4,3,12.281301,1.324651,0.014748,0.647028,3.714822,1.187134,0.060647,37.498616,4.64654602132959,5.20019051318949,-0.5536444918599
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_5_3,4 AF16 D10 metformin 1_5,1,65.306063,0.985606,0.031743,0.379385,0,4.351583,0.154252,145.182041,5.87388360541747,5.20019051318949,0.673693092227976
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_5_3,4 AF16 D10 metformin 1_5,2,67.428588,0.705639,0.006492,0.366278,0,5.975378,0.155452,187.197771,6.25506546799476,5.20019051318949,1.05487495480527
Driscoll,DC_112819,11/28/19,4,AF16,METFO,1,8,Sample_4 AF16 D10 metformin 1_5_3,4 AF16 D10 metformin 1_5,3,73.406157,0.445779,0.004097,0.445052,0,5.445335,0.261141,241.980485,7.94403579880957,5.20019051318949,2.74384528562008
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-1_3,23 AF16 D10 CRTL 1-1,1,99.890995,0.371552,0.004733,0.334719,0,8.104721,0.275593,266.952229,7.87641573881935,5.20019051318949,2.67622522562986
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-1_3,23 AF16 D10 CRTL 1-1,2,66.386555,0.568183,0.007685,0.352846,0,6.302497,0.203036,213.877534,6.65829380743781,5.20019051318949,1.45810329424832
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-1_3,23 AF16 D10 CRTL 1-1,3,74.662202,0.577262,0.001737,0.407328,1.233645,5.39776,0.221086,223.860854,7.29960342766098,5.20019051318949,2.09941291447149
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-2_3,23 AF16 D10 CRTL 1-2,1,67.078844,0.518722,0.007387,0.391135,0,6.384417,0.193185,231.875608,7.1150520170909,5.20019051318949,1.91486150390141
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-2_3,23 AF16 D10 CRTL 1-2,2,10.48719,1.601119,0.049183,0.439917,0,1.504246,0.048943,31.061358,3.74629365241328,5.20019051318949,-1.45389686077621
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-2_3,23 AF16 D10 CRTL 1-2,3,7.863113,1.732532,0.017751,0.55819,0,0.451348,0.036248,14.032111,4.22247454024258,5.20019051318949,-0.977715972946912
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-3_3,23 AF16 D10 CRTL 1-3,1,5.647737,1.967945,0.028447,0.346861,0,0.320756,0.02647,7.536757,3.03432865374802,5.20019051318949,-2.16586185944147
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-3_3,23 AF16 D10 CRTL 1-3,2,7.957176,1.704179,0.017171,0.559449,3.602251,1.137411,0.051987,20.25255,3.99064426707373,5.20019051318949,-1.20954624611576
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-3_3,23 AF16 D10 CRTL 1-3,3,61.458287,0.366154,0.015003,0.376348,0,5.88504,0.213712,215.974469,6.72284287431839,5.20019051318949,1.5226523611289
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-4_3,23 AF16 D10 CRTL 1-4,1,67.350032,0.516741,0.000443,0.38327,0,5.028388,0.207164,205.70151,6.83194269641476,5.20019051318949,1.63175218322527
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-4_3,23 AF16 D10 CRTL 1-4,2,53.205189,0.677094,0.010928,0.381126,0,3.594417,0.153234,154.929489,5.81994850633531,5.20019051318949,0.619757993145815
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-4_3,23 AF16 D10 CRTL 1-4,3,20.956621,0.813137,0.025257,0.480231,0.11194,1.874421,0.053439,64.94645,4.29386265141964,5.20019051318949,-0.906327861769851
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-5_3,23 AF16 D10 CRTL 1-5,1,52.055056,0.20215,0.00732,0.389729,0,2.777105,0.14996,179.922657,6.12605449873243,5.20019051318949,0.925863985542937
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-5_3,23 AF16 D10 CRTL 1-5,2,55.319464,1.001613,0.018733,0.42202,0,2.867492,0.121027,136.246965,5.88693621660417,5.20019051318949,0.686745703414684
Driscoll,DC_112819,11/28/19,23,AF16,H2O,1,8,Sample_23 AF16 D10 CRTL 1-5_3,23 AF16 D10 CRTL 1-5,3,84.576359,0.502874,0.009213,0.349024,0,4.462344,0.225372,247.358776,7.70579322376347,5.20019051318949,2.50560271057398
Driscoll,DC_112819,11/28/19,23,AF16,METFO,1,8,Sample_23 AF16 D10 METFORMIN 1-1_3,23 AF16 D10 METFORMIN 1-1,1,52.129548,0.607013,0.015015,0.505419,1.011236,2.976415,0.084699,153.01954,6.17775698221744,5.20019051318949,0.97756646902795
Driscoll,DC_112819,11/28/19,23,AF16,METFO,1,8,Sample_23 AF16 D10 METFORMIN 1-1_3,23 AF16 D10 METFORMIN 1-1,2,68.914983,0.549516,0.003484,0.374583,0,5.996198,0.210694,214.563097,6.875036539599,5.20019051318949,1.67484602640951
