
,Strain_Conc,X,Y,Source,DF,SS,Mean Square,F ratio,Prob > F,Between,Within
,AF16_0,Lab_Date,KM median,Lab_Date,10,234.074074,23.4074,3.5111,0.0125,68.7%,31.3%
,AF16_0,Lab_Date,KM median,Error,16,106.666667,6.6667,,,,
,AF16_0,Lab_Date,KM median,C. Total,26,340.740741,,,,,
,AF16_100,Lab_Date,KM median,Lab_Date,2,88.888889,44.4444,50,0.0002,94.3%,5.7%
,AF16_100,Lab_Date,KM median,Error,6,5.333333,0.8889,,,,
,AF16_100,Lab_Date,KM median,C. Total,8,94.222222,,,,,
,AF16_1000,Lab_Date,KM median,Lab_Date,2,174.222222,87.1111,24.5,0.0013,89.1%,10.9%
,AF16_1000,Lab_Date,KM median,Error,6,21.333333,3.5556,,,,
,AF16_1000,Lab_Date,KM median,C. Total,8,195.555556,,,,,
,AF16_5000,Lab_Date,KM median,Lab_Date,2,74.666667,37.3333,8.1951,0.0192,73.2%,26.8%
,AF16_5000,Lab_Date,KM median,Error,6,27.333333,4.5556,,,,
,AF16_5000,Lab_Date,KM median,C. Total,8,102,,,,,
,AF16_10000,Lab_Date,KM median,Lab_Date,2,26.208333,13.1042,2.1365,0.2135,46.1%,53.9%
,AF16_10000,Lab_Date,KM median,Error,5,30.666667,6.1333,,,,
,AF16_10000,Lab_Date,KM median,C. Total,7,56.875,,,,,
,AF16_50000,Lab_Date,KM median,Lab_Date,7,262.583333,37.5119,50.5778,<.0001,97.3%,2.7%
,AF16_50000,Lab_Date,KM median,Error,10,7.416667,0.7417,,,,
,AF16_50000,Lab_Date,KM median,C. Total,17,270,,,,,
,ED3092_0,Lab_Date,KM median,Lab_Date,7,250.154762,35.7364,4.1326,0.0133,69.0%,31.0%
,ED3092_0,Lab_Date,KM median,Error,13,112.416667,8.6474,,,,
,ED3092_0,Lab_Date,KM median,C. Total,20,362.571429,,,,,
,ED3092_100,Lab_Date,KM median,Lab_Date,2,37.047619,18.5238,27.7857,0.0045,93.3%,6.7%
,ED3092_100,Lab_Date,KM median,Error,4,2.666667,0.6667,,,,
,ED3092_100,Lab_Date,KM median,C. Total,6,39.714286,,,,,
,ED3092_1000,Lab_Date,KM median,Lab_Date,2,23.047619,11.5238,3.6391,0.1258,64.5%,35.5%
,ED3092_1000,Lab_Date,KM median,Error,4,12.666667,3.1667,,,,
,ED3092_1000,Lab_Date,KM median,C. Total,6,35.714286,,,,,
,ED3092_5000,Lab_Date,KM median,Lab_Date,2,110.333333,55.1667,7.5657,0.0437,79.1%,20.9%
,ED3092_5000,Lab_Date,KM median,Error,4,29.166667,7.2917,,,,
,ED3092_5000,Lab_Date,KM median,C. Total,6,139.5,,,,,
,ED3092_10000,Lab_Date,KM median,Lab_Date,1,0.666667,0.6667,0.1429,0.7247,3.4%,96.6%
,ED3092_10000,Lab_Date,KM median,Error,4,18.666667,4.6667,,,,
,ED3092_10000,Lab_Date,KM median,C. Total,5,19.333333,,,,,
,ED3092_50000,Lab_Date,KM median,Lab_Date,4,147.233333,36.8083,7.4864,0.0047,75.0%,25.0%
,ED3092_50000,Lab_Date,KM median,Error,10,49.166667,4.9167,,,,
,ED3092_50000,Lab_Date,KM median,C. Total,14,196.4,,,,,
,HK104_0,Lab_Date,KM median,Lab_Date,7,360.492754,51.499,3.5791,0.0182,62.6%,37.4%
,HK104_0,Lab_Date,KM median,Error,15,215.833333,14.3889,,,,
,HK104_0,Lab_Date,KM median,C. Total,22,576.326087,,,,,
,HK104_100,Lab_Date,KM median,Lab_Date,2,168.833333,84.4167,2.8296,0.1507,53.1%,46.9%
,HK104_100,Lab_Date,KM median,Error,5,149.166667,29.8333,,,,
,HK104_100,Lab_Date,KM median,C. Total,7,318,,,,,
,HK104_1000,Lab_Date,KM median,Lab_Date,2,208.666667,104.3333,3.3584,0.119,57.3%,42.7%
,HK104_1000,Lab_Date,KM median,Error,5,155.333333,31.0667,,,,
,HK104_1000,Lab_Date,KM median,C. Total,7,364,,,,,
,HK104_5000,Lab_Date,KM median,Lab_Date,2,290.190476,145.0952,5.3409,0.0742,72.8%,27.2%
,HK104_5000,Lab_Date,KM median,Error,4,108.666667,27.1667,,,,
,HK104_5000,Lab_Date,KM median,C. Total,6,398.857143,,,,,
,HK104_10000,Lab_Date,KM median,Lab_Date,2,283.722222,141.8611,4.437,0.0656,59.7%,40.3%
,HK104_10000,Lab_Date,KM median,Error,6,191.833333,31.9722,,,,
,HK104_10000,Lab_Date,KM median,C. Total,8,475.555556,,,,,
,HK104_50000,Lab_Date,KM median,Lab_Date,4,481.6,120.4,14.8033,0.0003,85.6%,14.4%
,HK104_50000,Lab_Date,KM median,Error,10,81.333333,8.1333,,,,
,HK104_50000,Lab_Date,KM median,C. Total,14,562.933333,,,,,
,JU1373_0,Lab_Date,KM median,Lab_Date,10,104.666667,10.4667,3.9873,0.007,71.4%,28.6%
,JU1373_0,Lab_Date,KM median,Error,16,42,2.625,,,,
,JU1373_0,Lab_Date,KM median,C. Total,26,146.666667,,,,,
